Dataset,Algorithm,Run_ID,Best_Precision,N_Features,Time_s
wine,SA,29,0.9660300440300441,8,27.951765060424805
wine,SA,30,0.9660300440300441,8,28.06446599960327
wine,Tabu,1,0.9660300440300441,8,27.761033296585083
wine,Tabu,2,0.9670485625485625,8,27.141981840133667
wine,Tabu,3,0.9660452945747063,5,27.70257043838501
wine,Tabu,4,0.9660452945747063,5,27.440483808517456
wine,Tabu,5,0.9660300440300441,8,27.680546045303345
wine,Tabu,6,0.9670485625485625,8,27.819907903671265
wine,Tabu,7,0.9660452945747063,5,27.79897427558899
wine,Tabu,8,0.9577341269841269,6,27.51527428627014
wine,Tabu,9,0.9660300440300441,8,27.866082191467285
wine,Tabu,10,0.962605339105339,7,27.903785228729248
wine,Tabu,11,0.9670485625485625,8,27.768242120742798
wine,Tabu,12,0.9670485625485625,8,28.004446744918823
wine,Tabu,13,0.9660452945747063,5,27.442258834838867
wine,Tabu,14,0.9670485625485625,8,27.866952657699585
wine,Tabu,15,0.9670485625485625,8,27.785884141921997
wine,Tabu,16,0.9670485625485625,8,27.84293794631958
wine,Tabu,17,0.9670485625485625,8,27.881274938583374
wine,Tabu,18,0.9660300440300441,8,27.687312602996826
wine,Tabu,19,0.9670485625485625,8,27.21327805519104
wine,Tabu,20,0.9660452945747063,5,27.513383865356445
wine,Tabu,21,0.9670485625485625,8,27.269267320632935
wine,Tabu,22,0.9660452945747063,5,27.234117031097412
wine,Tabu,23,0.9660300440300441,8,27.362056493759155
wine,Tabu,24,0.9670485625485625,8,27.40082359313965
wine,Tabu,25,0.9670485625485625,8,27.81060767173767
wine,Tabu,26,0.9670485625485625,8,27.715032815933228
wine,Tabu,27,0.9660300440300441,8,27.61584186553955
wine,Tabu,28,0.9670485625485625,8,27.994343996047974
wine,Tabu,29,0.9660300440300441,8,28.038057565689087
wine,Tabu,30,0.9670485625485625,8,27.6869535446167
wine,PSO,1,0.9660300440300441,8,27.334797143936157
wine,PSO,2,0.9670485625485625,8,26.981773614883423
wine,PSO,3,0.9670485625485625,8,26.79658031463623
wine,PSO,4,0.9670485625485625,8,27.096473217010498
wine,PSO,5,0.9670485625485625,8,26.73377823829651
wine,PSO,6,0.9670485625485625,8,26.693490028381348
wine,PSO,7,0.9670485625485625,8,26.948463201522827
wine,PSO,8,0.9670485625485625,8,27.081815004348755
wine,PSO,9,0.9670485625485625,8,27.04808282852173
wine,PSO,10,0.9670485625485625,8,26.984635591506958
wine,PSO,11,0.9670485625485625,8,27.495848655700684
wine,PSO,12,0.9670485625485625,8,27.292972803115845
wine,PSO,13,0.9670485625485625,8,27.079716205596924
wine,PSO,14,0.9670485625485625,8,27.041800022125244
wine,PSO,15,0.9670485625485625,8,26.92934799194336
wine,PSO,16,0.9670485625485625,8,26.93104863166809
wine,PSO,17,0.9670485625485625,8,26.982773542404175
wine,PSO,18,0.9670485625485625,8,27.129201650619507
wine,PSO,19,0.9670485625485625,8,26.99319863319397
wine,PSO,20,0.9670485625485625,8,27.080647468566895
wine,PSO,21,0.9670485625485625,8,27.50340437889099
wine,PSO,22,0.9670485625485625,8,27.129170417785645
wine,PSO,23,0.9670485625485625,8,26.825382947921753
wine,PSO,24,0.9670485625485625,8,26.87774419784546
wine,PSO,25,0.9670485625485625,8,27.06212592124939
wine,PSO,26,0.9670485625485625,8,27.221971035003662
wine,PSO,27,0.9670485625485625,8,28.03835964202881
wine,PSO,28,0.9670485625485625,8,26.945265293121338
wine,PSO,29,0.9670485625485625,8,27.12963628768921
wine,PSO,30,0.9670485625485625,8,27.102453231811523
wine,GWO,1,0.9660452945747063,5,28.214465141296387
wine,GWO,2,0.9670485625485625,8,29.191138982772827
wine,GWO,3,0.962605339105339,7,29.14372158050537
wine,GWO,4,0.9595062345062344,5,28.042091369628906
wine,GWO,5,0.957467032967033,6,28.45965051651001
wine,GWO,6,0.9660300440300441,8,29.06743025779724
wine,GWO,7,0.9660300440300441,8,28.975462436676025
wine,GWO,8,0.9670485625485625,8,29.105276346206665
wine,GWO,9,0.9650452945747063,6,28.47809863090515
wine,GWO,10,0.9660300440300441,8,28.929616928100586
wine,GWO,11,0.9594047619047619,5,28.219836235046387
wine,GWO,12,0.9624102194102193,7,28.906181573867798
wine,GWO,13,0.9595062345062344,5,28.09297823905945
wine,GWO,14,0.9660300440300441,8,28.979440689086914
wine,GWO,15,0.962605339105339,7,29.245320081710815
wine,GWO,16,0.9670485625485625,8,29.004910707473755
wine,GWO,17,0.9660300440300441,8,28.901601552963257
wine,GWO,18,0.9650452945747063,6,28.41276979446411
wine,GWO,19,0.9660300440300441,8,28.999591588974
wine,GWO,20,0.9660452945747063,5,28.239638090133667
wine,GWO,21,0.9660452945747063,5,28.316380262374878
wine,GWO,22,0.9660300440300441,8,29.108651638031006
wine,GWO,23,0.9660300440300441,8,29.494759559631348
wine,GWO,24,0.9670485625485625,8,29.631943464279175
wine,GWO,25,0.9670485625485625,8,29.840246200561523
wine,GWO,26,0.962605339105339,7,29.61211371421814
wine,GWO,27,0.9660452945747063,5,28.80008864402771
wine,GWO,28,0.9660452945747063,5,28.677536249160767
wine,GWO,29,0.9670485625485625,8,29.20423913002014
wine,GWO,30,0.962605339105339,7,29.628472805023193
lymphography,GA,1,0.8714339077753712,15,11.105446815490723
lymphography,GA,2,0.8626039661952974,20,11.1394624710083
lymphography,GA,3,0.8759591991372176,13,11.051421165466309
lymphography,GA,4,0.869683245899462,10,11.08109998703003
lymphography,GA,5,0.8618126958020913,14,11.118408918380737
lymphography,GA,6,0.8687032326444092,11,11.114796876907349
lymphography,GA,7,0.880946942334039,13,11.14059066772461
lymphography,GA,8,0.8749820764820764,14,11.125163555145264
lymphography,GA,9,0.867099957099957,15,11.114380598068237
lymphography,GA,10,0.8796615186615186,14,11.101144075393677
lymphography,GA,11,0.8530662805662806,15,11.097491264343262
lymphography,GA,12,0.865099957099957,17,11.10292649269104
lymphography,GA,13,0.8762034815110109,12,11.11760401725769
lymphography,GA,14,0.8872574002574003,13,11.075949907302856
lymphography,GA,15,0.878946942334039,15,11.124072551727295
lymphography,GA,16,0.8744760882046484,19,11.064226627349854
lymphography,GA,17,0.86076963256693,12,11.096976041793823
lymphography,GA,18,0.8652217763893267,17,11.12587022781372
lymphography,GA,19,0.8886197451650979,15,11.122236013412476
lymphography,GA,20,0.8669219501633294,16,11.095869541168213
lymphography,GA,21,0.877635576135576,11,11.046873331069946
lymphography,GA,22,0.8779989368250237,11,11.03319263458252
lymphography,GA,23,0.8669876553034448,12,11.068079471588135
lymphography,GA,24,0.8872574002574003,13,11.158613681793213
lymphography,GA,25,0.8872574002574003,13,11.059458017349243
lymphography,GA,26,0.8665549392300901,16,11.123069763183594
lymphography,GA,27,0.8750091453974433,16,11.111696004867554
lymphography,GA,28,0.88680904954818,16,11.092544078826904
lymphography,GA,29,0.8618669385052364,16,11.148426055908203
lymphography,GA,30,0.8671330375081775,15,11.120425462722778
lymphography,SA,1,0.8415361035361036,12,11.906271696090698
lymphography,SA,2,0.8263970529558765,17,12.072155714035034
lymphography,SA,3,0.8183758055920217,21,12.136870384216309
lymphography,SA,4,0.8641670890085524,16,12.029467821121216
lymphography,SA,5,0.8343349151894043,17,11.9868483543396
lymphography,SA,6,0.8259096564096564,18,12.015310764312744
lymphography,SA,7,0.8576949986949988,16,12.00916576385498
lymphography,SA,8,0.8209623732123733,21,12.069514274597168
lymphography,SA,9,0.8695321292101479,12,11.917927026748657
lymphography,SA,10,0.8521951951951952,18,12.027541637420654
lymphography,SA,11,0.8290679497191126,16,11.969388246536255
lymphography,SA,12,0.8360302830003916,20,12.012955665588379
lymphography,SA,13,0.8224606464572681,18,12.047738790512085
lymphography,SA,14,0.8465972818153668,17,12.027106523513794
lymphography,SA,15,0.8364418877081415,8,11.90924072265625
lymphography,SA,16,0.8107143892143892,16,11.9917631149292
lymphography,SA,17,0.7976848176412543,15,12.016895294189453
lymphography,SA,18,0.8557088054914143,15,11.98182463645935
lymphography,SA,19,0.8482429824380289,15,12.005688190460205
lymphography,SA,20,0.8349803587371155,17,12.030643939971924
lymphography,SA,21,0.8006083460277009,18,12.08405876159668
lymphography,SA,22,0.8689656813465039,12,11.944390535354614
lymphography,SA,23,0.8250745184813507,16,12.008928775787354
lymphography,SA,24,0.8402748801369491,14,11.969159126281738
lymphography,SA,25,0.7955024785551101,12,11.974531650543213
lymphography,SA,26,0.8428752115263743,14,12.00055980682373
lymphography,SA,27,0.854614733887096,9,11.863365173339844
lymphography,SA,28,0.8295640148748258,12,11.921859502792358
lymphography,SA,29,0.81942759795383,17,12.062507390975952
lymphography,SA,30,0.8118903578501101,15,12.002991437911987
lymphography,Tabu,1,0.8916354816354816,15,11.965985774993896
lymphography,Tabu,2,0.8862574002574003,14,11.992870330810547
lymphography,Tabu,3,0.8654339077753712,21,11.99244213104248
lymphography,Tabu,4,0.8862574002574003,14,11.972266435623169
lymphography,Tabu,5,0.8800142247510668,15,12.034892082214355
lymphography,Tabu,6,0.8810142247510668,14,11.979636907577515
lymphography,Tabu,7,0.8786304697554698,13,11.989691972732544
lymphography,Tabu,8,0.8857079184447606,13,11.971516370773315
lymphography,Tabu,9,0.8755600647086715,15,11.98851203918457
lymphography,Tabu,10,0.869741003051814,10,11.992295503616333
lymphography,Tabu,11,0.870092538531563,16,11.915012121200562
lymphography,Tabu,12,0.8806239123607544,12,11.94077205657959
lymphography,Tabu,13,0.8717760617760618,15,11.96510648727417
lymphography,Tabu,14,0.8643505542430964,18,11.990959644317627
lymphography,Tabu,15,0.8693519543519543,10,11.914591550827026
lymphography,Tabu,16,0.8685448305448304,12,11.954360723495483
lymphography,Tabu,17,0.875541613475385,11,11.907201528549194
lymphography,Tabu,18,0.876946942334039,17,11.940342426300049
lymphography,Tabu,19,0.8702299632078246,11,11.997947692871094
lymphography,Tabu,20,0.8665355835595715,15,11.986823320388794
lymphography,Tabu,21,0.8828234873688402,13,11.945125102996826
lymphography,Tabu,22,0.8773909705159705,15,11.961181640625
lymphography,Tabu,23,0.8644388421807776,10,11.960376977920532
lymphography,Tabu,24,0.8886197451650979,15,12.005694150924683
lymphography,Tabu,25,0.8876197451650979,16,12.008561611175537
lymphography,Tabu,26,0.8827079184447606,16,11.951613426208496
lymphography,Tabu,27,0.8614492527387264,13,11.9550940990448
lymphography,Tabu,28,0.882173799219152,13,11.977235317230225
lymphography,Tabu,29,0.860141372141372,12,11.96068811416626
lymphography,Tabu,30,0.8738587821001614,16,12.017664194107056
lymphography,PSO,1,0.8621205686205685,19,12.276209592819214
lymphography,PSO,2,0.8577660582660581,13,12.294676065444946
lymphography,PSO,3,0.8672091503267974,14,12.29710841178894
lymphography,PSO,4,0.8606314505239927,18,12.343222618103027
lymphography,PSO,5,0.861521745613209,19,12.320360898971558
lymphography,PSO,6,0.87793564993565,12,12.304505109786987
lymphography,PSO,7,0.8626291029705664,19,12.328192234039307
lymphography,PSO,8,0.8610642778188888,19,12.280232429504395
lymphography,PSO,9,0.8531984311898104,17,12.197062492370605
lymphography,PSO,10,0.8553839263011715,18,11.983881950378418
lymphography,PSO,11,0.859890320405483,15,11.967328786849976
lymphography,PSO,12,0.8618648132573553,17,11.984002590179443
lymphography,PSO,13,0.8656698517491727,11,11.997502326965332
lymphography,PSO,14,0.8568797218624804,18,12.00526738166809
lymphography,PSO,15,0.8632292358803986,18,11.991470098495483
lymphography,PSO,16,0.872357094189027,17,12.023816585540771
lymphography,PSO,17,0.8712549105049843,14,11.987805366516113
lymphography,PSO,18,0.8614797692429271,15,11.98452115058899
lymphography,PSO,19,0.8452542997542997,17,12.024170637130737
lymphography,PSO,20,0.8674903721288857,13,11.930181741714478
lymphography,PSO,21,0.8590884613253034,20,11.933971881866455
lymphography,PSO,22,0.8579202351456346,14,11.926718473434448
lymphography,PSO,23,0.8636513887159049,17,11.93861436843872
lymphography,PSO,24,0.8577785810785009,15,11.950521469116211
lymphography,PSO,25,0.8773511850880271,13,11.963282346725464
lymphography,PSO,26,0.8599524392467557,12,11.924360513687134
